iter	Passed	Remaining
0	111	111426
1	115	57736
2	121	40274
3	125	31336
4	130	25995
5	136	22586
6	141	20090
7	146	18218
8	152	16752
9	156	15508
10	160	14458
11	164	13503
12	167	12698
13	169	11926
14	171	11250
15	173	10653
16	175	10141
17	177	9661
18	178	9220
19	180	8826
20	181	8476
21	183	8152
22	185	7863
23	186	7586
24	188	7337
25	189	7116
26	191	6900
27	192	6686
28	193	6488
29	195	6309
30	196	6136
31	197	5971
32	198	5816
33	199	5674
34	200	5539
35	202	5413
36	203	5308
37	205	5203
38	206	5098
39	208	4994
40	209	4898
41	210	4805
42	211	4716
43	213	4630
44	214	4548
45	215	4469
46	216	4394
47	218	4331
48	219	4264
49	220	4196
50	222	4131
51	223	4070
52	224	4011
53	225	3952
54	226	3894
55	227	3838
56	228	3786
57	230	3736
58	231	3688
59	232	3650
60	234	3606
61	235	3562
62	236	3523
63	238	3486
64	239	3447
65	240	3408
66	242	3371
67	243	3335
68	244	3300
69	245	3266
70	247	3239
71	248	3206
72	250	3176
73	251	3145
74	252	3114
75	253	3086
76	255	3057
77	256	3029
78	257	3002
79	258	2974
80	259	2947
81	261	2922
82	261	2893
83	263	2872
84	264	2849
85	266	2827
86	267	2804
87	268	2782
88	269	2760
89	270	2737
90	271	2715
91	272	2693
92	274	2672
93	275	2651
94	276	2633
95	278	2618
96	279	2600
97	280	2581
98	281	2563
99	283	2548
100	284	2533
101	285	2517
102	287	2500
103	288	2483
104	289	2466
105	290	2450
106	291	2436
107	293	2422
108	294	2407
109	295	2393
110	297	2379
111	298	2366
112	299	2351
113	300	2337
114	301	2322
115	302	2308
116	303	2293
117	305	2279
118	306	2270
119	307	2258
120	309	2246
121	310	2233
122	311	2220
123	312	2209
124	313	2197
125	315	2185
126	315	2171
127	317	2160
128	318	2148
129	319	2136
130	320	2125
131	322	2118
132	323	2107
133	324	2097
134	325	2087
135	326	2076
136	328	2066
137	329	2056
138	330	2047
139	331	2038
140	333	2028
141	333	2017
142	335	2008
143	336	2001
144	337	1992
145	339	1984
146	340	1976
147	341	1968
148	343	1959
149	344	1951
150	345	1942
151	346	1933
152	347	1924
153	348	1916
154	350	1909
155	352	1904
156	353	1897
157	354	1890
158	355	1882
159	357	1876
160	358	1866
161	359	1858
162	360	1850
163	361	1842
164	362	1834
165	363	1826
166	365	1823
167	367	1819
168	368	1813
169	370	1808
170	371	1801
171	373	1796
172	374	1792
173	376	1786
174	377	1780
175	378	1774
176	381	1772
177	382	1766
178	383	1760
179	385	1754
180	386	1748
181	387	1742
182	388	1735
183	389	1729
184	391	1722
185	392	1716
186	393	1710
187	394	1703
188	396	1700
189	397	1696
190	399	1690
191	400	1684
192	401	1679
193	403	1674
194	404	1668
195	405	1662
196	406	1655
197	407	1649
198	408	1643
199	409	1638
200	411	1634
201	412	1629
202	413	1625
203	415	1619
204	416	1614
205	417	1609
206	418	1604
207	419	1598
208	421	1593
209	422	1588
210	423	1582
211	424	1577
212	426	1574
213	427	1569
214	428	1564
215	429	1560
216	431	1555
217	432	1549
218	433	1544
219	434	1540
220	435	1535
221	436	1531
222	438	1527
223	439	1523
224	441	1519
225	442	1515
226	443	1511
227	445	1506
228	446	1502
229	447	1498
230	448	1493
231	449	1489
232	450	1484
233	452	1479
234	453	1475
235	454	1470
236	455	1467
237	457	1464
238	458	1459
239	459	1455
240	460	1451
241	462	1447
242	463	1443
243	464	1439
244	465	1435
245	466	1431
246	468	1427
247	469	1423
248	470	1420
249	472	1416
250	473	1413
251	474	1409
252	475	1405
253	477	1401
254	478	1397
255	479	1393
256	480	1389
257	481	1385
258	482	1381
259	484	1377
260	485	1375
261	487	1371
262	488	1368
263	489	1364
264	490	1361
